category,month,order_count,total_revenue,avg_revenue
Bakery,2026-01,6,735,122.5
Bakery,2026-02,8,2440,305.0
Bakery,2026-03,11,3090,280.90909090909093
Bakery,2026-04,13,3115,239.6153846153846
Bakery,2026-05,15,3695,246.33333333333334
Bakery,2026-06,14,2335,166.78571428571428
Dairy & Eggs,2026-01,9,2035,226.11111111111111
Dairy & Eggs,2026-02,8,1935,241.875
Dairy & Eggs,2026-03,15,3163,210.86666666666667
Dairy & Eggs,2026-04,9,1650,183.33333333333334
Dairy & Eggs,2026-05,14,3479,248.5
Dairy & Eggs,2026-06,11,1828,166.1818181818182
Fruits & Vegetables,2026-01,12,1290,107.5
Fruits & Vegetables,2026-02,13,2090,160.76923076923077
Fruits & Vegetables,2026-03,13,2080,160.0
Fruits & Vegetables,2026-04,14,1400,100.0
Fruits & Vegetables,2026-05,12,1870,155.83333333333334
Fruits & Vegetables,2026-06,9,1060,117.77777777777777
Household Essentials,2026-01,10,2099,209.9
Household Essentials,2026-02,16,5113,319.5625
Household Essentials,2026-03,8,1885,235.625
Household Essentials,2026-04,17,5491,323.0
Household Essentials,2026-05,16,3477,217.3125
Household Essentials,2026-06,12,3650,304.1666666666667
Personal Care,2026-01,12,3608,300.6666666666667
Personal Care,2026-02,8,2177,272.125
Personal Care,2026-03,11,2807,255.1818181818182
Personal Care,2026-04,9,1970,218.88888888888889
Personal Care,2026-05,13,3045,234.23076923076923
Personal Care,2026-06,13,2775,213.46153846153845
Snacks & Beverages,2026-01,10,1290,129.0
Snacks & Beverages,2026-02,11,1330,120.9090909090909
Snacks & Beverages,2026-03,15,1670,111.33333333333333
Snacks & Beverages,2026-04,19,2980,156.8421052631579
Snacks & Beverages,2026-05,13,1665,128.07692307692307
Snacks & Beverages,2026-06,15,1960,130.66666666666666
